"ID"	"PROTEIN_NAME"	"NAME"	"SYNONYMS"	"TYPE"	"EXPRESSION_PROFIL"	"DESCRIPTION"	"PROTEIN_DOMAINS"	"CHROMOSOME"	"NT_START"	"NT_END"	"NB_IES"	"CTIP_early_log2FC"	"CTIP_early_padj"	"CTIP_early_REG"	"CTIP_inter_log2FC"	"CTIP_inter_padj"	"CTIP_inter_REG"	"KU80c_log2FC"	"KU80c_padj"	"KU80c_REG"	"PGM_log2FC"	"PGM_padj"	"PGM_REG"	"XRCC4_log2FC"	"XRCC4_padj"	"XRCC4_REG"	"TurboPGM_log2FC"	"TurboPGM_.log10pval"	"TurboPGML4_log2FC"	"TurboPGML4_.log10pval"	"Motif"	"Motif_STRAND"	"Motif_50_70"
"PTET.51.1.G0030168"	"PTET.51.1.P0030168"	"mtFL10A"	""	"Coding Gene"	"Intermediate peak"	""	""	"scaffold51_3"	248281	250284	0	NA	NA	NA	-3.59464392041476	5.14986413189545e-05	"Down-regulated"	4.02558222840959	6.13107492626602e-11	"Up-regulated"	3.06026665064225	2.12308253168815e-06	"Up-regulated"	2.0864378547891	0.0329203342662883	"Up-regulated"	NA	NA	NA	NA	2	"both"	TRUE
"PTET.51.1.G0030254"	"PTET.51.1.P0030254"	"PTET.51.1.G0030254"	""	"Coding Gene"	"Intermediate peak"	""	""	"scaffold51_3"	412699	413367	0	-4.40767937940333	0.0227898645859295	"Down-regulated"	-3.76146300338327	0.00451766596645549	"Down-regulated"	3.56102374777178	6.94462643179664e-05	"Up-regulated"	3.38889831275981	0.000216546786895406	"Up-regulated"	3.55541198929354	0.00582475593374545	"Up-regulated"	NA	NA	NA	NA	1	"plus"	TRUE
"PTET.51.1.G0040036"	"PTET.51.1.P0040036"	"PTET.51.1.G0040036"	""	"Coding Gene"	"Intermediate peak"	"DNA binding HTH domain, AraC-type"	"phd like zinc binding domain; zinc finger ring fyve phd type; zinc finger fyve phd type; zinc finger phd type; coiled coil domain; dna binding hth domain arac type"	"scaffold51_4"	52380	54118	0	-3.94472244825184	0.00103492155984115	"Down-regulated"	-3.59027706724226	3.94659259104843e-06	"Down-regulated"	3.06663482680328	1.41725688830656e-08	"Up-regulated"	2.5899398519888	4.22609292508308e-06	"Up-regulated"	2.48727356596735	0.00121684860432612	"Up-regulated"	"0,890066805"	"1,679009473"	"1,386561999"	"1,694480136"	1	"plus"	TRUE
"PTET.51.1.G0070121"	"PTET.51.1.P0070121"	"PTET.51.1.G0070121"	"DCL5"	"Coding Gene"	"Intermediate peak"	"Ribonuclease III domain"	"ribonuclease iii domain; ribonuclease iii like"	"scaffold51_7"	182373	184892	0	NA	NA	NA	-2.95143200569405	0.000204685334111997	"Down-regulated"	2.66689329590792	1.68108313063013e-06	"Up-regulated"	2.08834129400429	0.00030485159079281	"Up-regulated"	1.95668131819569	0.0215695737697406	"Up-regulated"	NA	NA	NA	NA	2	"both"	TRUE
"PTET.51.1.G0070139"	"PTET.51.1.P0070139"	"PTET.51.1.G0070139"	""	"Coding Gene"	"Intermediate peak"	""	""	"scaffold51_7"	207091	207654	0	-5.00282918847134	0.00494018669233561	"Down-regulated"	-4.71101385509005	2.27109235575025e-05	"Down-regulated"	4.00292854341011	2.58297414554951e-07	"Up-regulated"	3.39097170341498	2.62895549678082e-05	"Up-regulated"	2.85015386228374	0.0156303653837112	"Up-regulated"	NA	NA	NA	NA	2	"both"	TRUE
"PTET.51.1.G0090252"	"PTET.51.1.P0090252"	"PTET.51.1.G0090252"	""	"Coding Gene"	"Intermediate peak"	"Coiled coil domain"	"coiled coil domain"	"scaffold51_9"	445705	447967	0	-3.60751069366382	0.0477206382868338	"Down-regulated"	-4.26056196273608	0.000334955526404335	"Down-regulated"	4.19359622190525	3.80371674231305e-07	"Up-regulated"	3.23562044830221	0.000165579376290121	"Up-regulated"	2.6187324792378	0.045934334076084	"Up-regulated"	NA	NA	NA	NA	1	"moins"	TRUE
"PTET.51.1.G0100167"	"PTET.51.1.P0100167"	"PTET.51.1.G0100167"	""	"Coding Gene"	"Intermediate peak"	""	""	"scaffold51_10"	279476	280348	0	-3.49396794449385	0.0282808528430356	"Down-regulated"	-4.03931304005093	9.33773702998791e-05	"Down-regulated"	4.58372009807236	1.3604935067427e-10	"Up-regulated"	3.72183679346877	6.22992540383242e-07	"Up-regulated"	3.19560683140562	0.00201566417153316	"Up-regulated"	NA	NA	NA	NA	1	"plus"	TRUE
"PTET.51.1.G0110132"	"PTET.51.1.P0110132"	"PTET.51.1.G0110132"	""	"Coding Gene"	"Intermediate peak"	""	""	"scaffold51_11"	189820	190415	0	-2.88908261000174	0.0295278683068066	"Down-regulated"	-3.0808703624893	0.000403210954253264	"Down-regulated"	3.31901715244257	2.99394289294961e-08	"Up-regulated"	3.02217471735218	1.1631550361187e-06	"Up-regulated"	3.00855710377204	0.00026507076511369	"Up-regulated"	NA	NA	NA	NA	1	"plus"	TRUE
"PTET.51.1.G0110239"	"PTET.51.1.P0110239"	"PTET.51.1.G0110239"	""	"Coding Gene"	"Intermediate peak"	""	""	"scaffold51_11"	375578	376178	0	-5.11868266710777	0.0176881290542603	"Down-regulated"	-4.8702598819739	0.000563446747308114	"Down-regulated"	4.42306368109458	7.01697585222416e-06	"Up-regulated"	3.93250172385236	0.000106825785533653	"Up-regulated"	4.1453669787729	0.00325567281089513	"Up-regulated"	NA	NA	NA	NA	2	"plus"	TRUE
"PTET.51.1.G0110267"	"PTET.51.1.P0110267"	"PGML1"	""	"Coding Gene"	"Intermediate peak"	"PiggyBac transposable element-derived protein"	"piggybac transposable element derived protein; transposase is4"	"scaffold51_11"	423050	424832	0	-4.48625564377457	0.00571897430646199	"Down-regulated"	-3.75493245520375	0.000337634314071478	"Down-regulated"	1.87499060074713	0.0141865165609158	"Up-regulated"	2.32126238508188	0.00245436818435627	"Up-regulated"	2.41627931240158	0.0341134457513244	"Up-regulated"	"1,925830508"	"2,168138681"	"1,010352841"	"1,422022236"	2	"both"	TRUE
